rank,Youtuber,subscribers,video views,category,uploads,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,created_on
241,TRANS7 OFFICIAL,25000000,14169516119,Entertainment,89179,Indonesia,ID,30800.0,492800.0,369600.0,5900000.0,36.3,270203917.0,4.69,151509724.0,2014-09-04
242,Anuel AA,25000000,14827085149,Music,147,Colombia,CO,71000.0,1100000.0,852400.0,13600000.0,55.3,50339443.0,9.71,40827302.0,2016-09-08
243,Dan Rhodes,24800000,17387583720,Entertainment,1644,United Kingdom,GB,83000.0,1300000.0,995700.0,15900000.0,60.0,66834405.0,3.85,55908316.0,2015-10-30
244,Yuya,24800000,2588501115,Howto & Style,672,Mexico,MX,84.0,1300.0,149840.43243243243,16100.0,40.2,126014024.0,3.42,102626859.0,2009-09-20
245,America's Got Talent,24800000,3699352704,Entertainment,1894,United States,US,33600.0,537600.0,403200.0,6500000.0,88.2,328239523.0,14.7,270663028.0,2006-06-29
246,mujjuu___14,24800000,14655527943,People & Blogs,872,India,IN,100100.0,1600000.0,1200000.0,19200000.0,28.1,1366417754.0,5.36,471031528.0,2020-05-18
247,EminemVEVO,24700000,20531704527,Music,104,United States,US,34900.0,557800.0,418300.0,6700000.0,88.2,328239523.0,14.7,270663028.0,2009-05-12
248,Chloe Ting,24700000,2994726412,Howto & Style,412,Australia,AU,5800.0,93100.0,69800.0,1100000.0,113.1,25766605.0,5.27,21844756.0,2011-08-17
249,KatyPerryVEVO,24600000,23755792542,Music,175,United States,US,22200.0,355800.0,266800.0,4300000.0,88.2,328239523.0,14.7,270663028.0,2009-12-13
250,Mark Rober,24600000,3647987299,Science & Technology,120,United States,US,22200.0,354500.0,265900.0,4300000.0,88.2,328239523.0,14.7,270663028.0,2011-10-20
252,Like Nastya AE,24400000,12385924995,Entertainment,658,United States,US,42500.0,679500.0,509600.0,8200000.0,88.2,328239523.0,14.7,270663028.0,2018-12-19
253,Amit Bhadana,24300000,2380248899,Entertainment,17,India,IN,0.0,0.02,470586.4440707965,7544165.480309734,28.1,1366417754.0,5.36,471031528.0,2009-12-31
254,Pen Movies,24300000,6608773195,Film & Animation,1667,India,IN,23700.0,379400.0,284600.0,4600000.0,28.1,1366417754.0,5.36,471031528.0,2014-03-25
258,Alejo Igoa,24100000,10999000479,Comedy,802,Argentina,AR,100400.0,1600000.0,1200000.0,19300000.0,99.0,46005799.0,6.81,42696478.0,2014-01-17
259,Daniel LaBelle,24100000,12916159065,Comedy,287,United States,US,99700.0,1600000.0,1200000.0,19100000.0,88.2,328239523.0,14.7,270663028.0,2009-03-11
261,DJ Snake,24100000,8425505919,Music,252,United States,US,15800.0,253200.0,189900.0,3000000.0,88.2,328239523.0,14.7,270663028.0,2008-09-24
263,KSI,24100000,6002166932,Entertainment,1252,United Kingdom,GB,1400.0,21800.0,16300.0,261100.0,60.0,66834405.0,3.85,55908316.0,2009-07-25
264,Spider Slack,24000000,13943030228,Comedy,901,Brazil,BR,190400.0,3000000.0,2300000.0,36500000.0,51.3,212559417.0,12.08,183241641.0,2020-05-18
265,Goldmines Movies,24000000,5652938599,Film & Animation,3100,India,IN,0.0,0.01,551006.2411904761,8861635.621666666,28.1,1366417754.0,5.36,471031528.0,2018-04-30
266,Preston,24000000,8279004442,Gaming,4009,United States,US,37900.0,606800.0,455100.0,7300000.0,88.2,328239523.0,14.7,270663028.0,2012-07-04
267,James Charles,23900000,4067878931,Entertainment,505,United States,US,14500.0,232500.0,174400.0,2800000.0,88.2,328239523.0,14.7,270663028.0,2015-12-01
268,Collins Key,23900000,6582932625,Entertainment,257,United States,US,2700.0,43400.0,32600.0,520900.0,88.2,328239523.0,14.7,270663028.0,2011-08-09
269,Diana and Roma EN,23900000,7213499085,People & Blogs,511,United States,US,44400.0,711100.0,533300.0,8500000.0,88.2,328239523.0,14.7,270663028.0,2011-12-22
270,Venus Entertainment,23800000,5663125358,Entertainment,70,India,IN,8.0,127.0,470586.4440707965,7544165.480309734,28.1,1366417754.0,5.36,471031528.0,2016-05-17
271,Troom Troom,23800000,10414479943,Howto & Style,2425,United States,US,24500.0,392200.0,294200.0,4700000.0,88.2,328239523.0,14.7,270663028.0,2015-09-12
272,Enrique Iglesias,23800000,17688774915,Music,443,United States,US,30700.0,491700.0,368700.0,5900000.0,88.2,328239523.0,14.7,270663028.0,2007-04-12
273,Ninja,23700000,2543809954,Gaming,1732,United States,US,2100.0,33500.0,25100.0,401700.0,88.2,328239523.0,14.7,270663028.0,2011-11-11
274,FaZe Rug,23700000,7451792132,Gaming,4300,Canada,CA,0.0,0.0,200995.47880434783,3224177.3629347826,68.9,36991981.0,5.56,30628482.0,2012-11-30
275,Mister Max,23700000,15510153803,People & Blogs,1099,United Kingdom,GB,8200.0,131300.0,98400.0,1600000.0,60.0,66834405.0,3.85,55908316.0,2014-09-22
276,That Little Puff,23700000,20289689389,Pets & Animals,769,United States,US,188800.0,3000000.0,2300000.0,36200000.0,88.2,328239523.0,14.7,270663028.0,2020-08-29
277,NickyJamTV,23600000,15901824841,Music,392,United States,US,19500.0,311700.0,233800.0,3700000.0,88.2,328239523.0,14.7,270663028.0,2012-01-10
278,Juan De Dios Pantoja,23600000,2135644776,Entertainment,226,Mexico,MX,11700.0,187400.0,140600.0,2200000.0,40.2,126014024.0,3.42,102626859.0,2014-06-09
279,Logan Paul,23600000,5994002464,Entertainment,719,United States,US,2700.0,43200.0,32400.0,518600.0,88.2,328239523.0,14.7,270663028.0,2015-08-29
280,Maya and Mary,23600000,6766461070,Entertainment,552,United States,US,11100.0,178200.0,133600.0,2100000.0,88.2,328239523.0,14.7,270663028.0,2013-08-30
282,Jelly,23500000,14777034543,Gaming,6066,United Kingdom,GB,10400.0,166700.0,125000.0,2000000.0,60.0,66834405.0,3.85,55908316.0,2014-05-27
283,Miss Katy,23500000,14696994366,People & Blogs,1044,United Kingdom,GB,14900.0,238500.0,178900.0,2900000.0,60.0,66834405.0,3.85,55908316.0,2014-11-17
284,Tilak,23400000,9465863821,Film & Animation,6672,India,IN,91800.0,1500000.0,1100000.0,17600000.0,28.1,1366417754.0,5.36,471031528.0,2020-10-10
285,Valentina Pontes ofc,23400000,7926899136,Film & Animation,1291,Brazil,BR,7100.0,113100.0,84900.0,1400000.0,51.3,212559417.0,12.08,183241641.0,2014-04-14
286,Sesame Street,23300000,22471357411,Entertainment,3657,United States,US,31000.0,496700.0,372600.0,6000000.0,88.2,328239523.0,14.7,270663028.0,2006-01-16
287,Happy Lives,23200000,2634,Science & Technology,1,United States,US,0.0,0.0,151542.70588235295,2415471.705882353,88.2,328239523.0,14.7,270663028.0,2016-03-15
288,Lady Gaga,23200000,15751661213,People & Blogs,172,United States,US,35800.0,572700.0,429500.0,6900000.0,88.2,328239523.0,14.7,270663028.0,2008-05-15
289,Akshay Nagwadiya,23200000,7966720147,Entertainment,595,India,IN,80300.0,1300000.0,963500.0,15400000.0,28.1,1366417754.0,5.36,471031528.0,2017-10-25
290,Wave Music Bhojpuri,23100000,12889240875,Music,22578,India,IN,13200.0,210700.0,158000.0,2500000.0,28.1,1366417754.0,5.36,471031528.0,2014-08-10
291,GMM GRAMMY OFFICIAL,23100000,25579831081,Music,15462,Thailand,TH,32600.0,520900.0,390700.0,6300000.0,49.3,69625582.0,0.75,35294600.0,2010-11-08
292,TED,23100000,2551113422,People & Blogs,4445,United States,US,3300.0,53000.0,39700.0,635800.0,88.2,328239523.0,14.7,270663028.0,2006-12-06
293,unknown boy varun,23100000,9299371231,Music,456,India,IN,76000.0,1200000.0,912100.0,14600000.0,28.1,1366417754.0,5.36,471031528.0,2016-09-27
294,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,3781,United States,US,32100.0,513800.0,385300.0,6200000.0,88.2,328239523.0,14.7,270663028.0,2013-08-30
295,Tsuriki Show,23000000,31494513067,Entertainment,2905,Germany,DE,189200.0,3000000.0,2300000.0,36300000.0,95.79,84607016.0,5.9,65067459.0,2019-07-10
296,Technical Guruji,23000000,3378047383,Science & Technology,5041,India,IN,5600.0,89000.0,66800.0,1100000.0,28.1,1366417754.0,5.36,471031528.0,2015-10-19
297,DrossRotzank,23000000,6041264489,Entertainment,1598,Argentina,AR,8900.0,142200.0,106600.0,1700000.0,99.0,46005799.0,6.81,42696478.0,2006-03-09
298,White Hill Music,23000000,10939966484,Entertainment,5718,India,IN,23300.0,372700.0,279500.0,4500000.0,28.1,1366417754.0,5.36,471031528.0,2014-03-23
299,Ultra Movie Parlour,22900000,5320485069,Movies,1670,India,IN,0.0,0.0,341050.0,5450000.0,28.1,1366417754.0,5.36,471031528.0,2011-05-17
300,Alan Becker,22900000,5380073627,Film & Animation,3100,United States,US,0.0,0.0,551006.2411904761,8861635.621666666,88.2,328239523.0,14.7,270663028.0,2006-03-21
301,toyorbabytv,22900000,16298342829,Music,1159,Jordan,JO,42300.0,676200.0,507200.0,8100000.0,34.4,10101694.0,14.72,9213048.0,2012-11-01
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140,Education,1251,Mexico,MX,34200.0,547300.0,410500.0,6600000.0,40.2,126014024.0,3.42,102626859.0,2018-03-19
303,KL BRO Biju Rithvik,22800000,17988347989,Entertainment,1841,India,IN,508100.0,8100000.0,6100000.0,97600000.0,28.1,1366417754.0,5.36,471031528.0,2020-07-21
304,Vania Mania Kids,22700000,10115316784,People & Blogs,985,United States,US,38800.0,620900.0,465600.0,7500000.0,88.2,328239523.0,14.7,270663028.0,2015-09-09
305,Like Nastya PRT,22700000,11568118121,Entertainment,654,Russia,RU,24200.0,386500.0,289800.0,4600000.0,98.6,144373535.0,4.59,107683889.0,2019-04-09
306,Sun TV,22600000,20847038152,People & Blogs,60964,India,IN,245600.0,3900000.0,2900000.0,47100000.0,28.1,1366417754.0,5.36,471031528.0,2016-02-26
307,Heroindori,22600000,9223534599,Comedy,495,India,IN,99800.0,1600000.0,1200000.0,19200000.0,28.1,1366417754.0,5.36,471031528.0,2020-06-29
308,The Chainsmokers,22600000,14231943358,Music,180,United States,US,20400.0,326600.0,245000.0,3900000.0,88.2,328239523.0,14.7,270663028.0,2012-09-22
309,mmoshaya,22600000,17507060680,People & Blogs,1189,Saudi Arabia,SA,18500.0,295300.0,221500.0,3500000.0,68.0,34268528.0,5.93,28807838.0,2010-12-11
310,Sia,22600000,13405849040,Music,171,United States,US,23800.0,381000.0,285800.0,4600000.0,88.2,328239523.0,14.7,270663028.0,2007-11-19
311,LeoNata Family,22600000,27084848152,People & Blogs,2321,United States,US,293500.0,4700000.0,3500000.0,56300000.0,88.2,328239523.0,14.7,270663028.0,2021-09-28
312,Goldmines Cineplex,22500000,2431154438,Film & Animation,3377,India,IN,12200.0,195000.0,146200.0,2300000.0,28.1,1366417754.0,5.36,471031528.0,2015-09-12
314,SSundee,22500000,13835173331,Gaming,3315,United States,US,43800.0,700400.0,525300.0,8400000.0,88.2,328239523.0,14.7,270663028.0,2009-11-28
315,Paulo Londra,22400000,8040036209,Music,58,Argentina,AR,18100.0,289000.0,216700.0,3500000.0,99.0,46005799.0,6.81,42696478.0,2016-08-08
316,Smile Family,22300000,8663830163,People & Blogs,34,France,FR,0.18,3.0,433486.4187704918,6928129.773770492,65.6,67059887.0,8.43,54123364.0,2019-11-03
317,FGTeeV,22300000,24059336857,Gaming,1724,United States,US,33000.0,528400.0,396300.0,6300000.0,88.2,328239523.0,14.7,270663028.0,2013-05-24
318,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,999,United States,US,34800.0,557300.0,418000.0,6700000.0,88.2,328239523.0,14.7,270663028.0,2015-09-25
319,Charlie Puth,22000000,9924807127,Music,157,United States,US,27900.0,446000.0,334500.0,5400000.0,88.2,328239523.0,14.7,270663028.0,2009-09-09
322,Ben Azelart,21900000,4454917643,Film & Animation,301,United States,US,46200.0,739800.0,554800.0,8900000.0,88.2,328239523.0,14.7,270663028.0,2014-06-05
323,Zach Choi ASMR,21900000,5918314128,People & Blogs,946,United States,US,58600.0,936900.0,702700.0,11200000.0,88.2,328239523.0,14.7,270663028.0,2014-07-05
324,Topper Guild,21900000,15552070846,Comedy,816,United States,US,171800.0,2700000.0,2100000.0,33000000.0,88.2,328239523.0,14.7,270663028.0,2014-07-09
325,Disney Latinoami,21900000,20657571751,Entertainment,116,Mexico,MX,1.0,19.0,470586.4440707965,7544165.480309734,40.2,126014024.0,3.42,102626859.0,2008-04-07
326,Stokes Twins,21800000,4469711607,People & Blogs,257,United States,US,49500.0,791800.0,593900.0,9500000.0,88.2,328239523.0,14.7,270663028.0,2008-04-11
327,National Geographic,21800000,5614621131,Science & Technology,10162,United States,US,11500.0,183200.0,137400.0,2200000.0,88.2,328239523.0,14.7,270663028.0,2006-05-07
328,Dua Lipa,21800000,11288359365,Music,164,United Kingdom,GB,32000.0,512200.0,384100.0,6100000.0,60.0,66834405.0,3.85,55908316.0,2011-02-05
329,OneDirectionVEVO,21800000,12140232004,Music,266,United Kingdom,GB,12800.0,204500.0,153400.0,2500000.0,60.0,66834405.0,3.85,55908316.0,2010-12-04
330,Rotana,21800000,19329351143,Music,135,Saudi Arabia,SA,3.0,42.0,408155.45147959184,6538956.585153062,68.0,34268528.0,5.93,28807838.0,2011-10-27
331,Netflix India,21800000,7780934187,People & Blogs,1,India,IN,0.0,0.0,433486.4187704918,6928129.773770492,28.1,1366417754.0,5.36,471031528.0,2017-09-24
332,Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,1390,India,IN,66300.0,1100000.0,796000.0,12700000.0,28.1,1366417754.0,5.36,471031528.0,2019-02-19
334,DUDU e CAROL,21600000,9597894786,Autos & Vehicles,2942,Brazil,BR,48300.0,772700.0,579500.0,9300000.0,51.3,212559417.0,12.08,183241641.0,2013-03-02
335,Village Cooking Channel,21600000,5863377051,Howto & Style,219,India,IN,48700.0,778400.0,583800.0,9300000.0,28.1,1366417754.0,5.36,471031528.0,2018-04-25
336,Eva Bravo Play,21600000,9346383505,Entertainment,228,United States,US,16000.0,255700.0,191800.0,3100000.0,88.2,328239523.0,14.7,270663028.0,2019-05-07
337,Tekashi 6ix9ine,21500000,5890180734,People & Blogs,51,United States,US,28400.0,454200.0,340600.0,5400000.0,88.2,328239523.0,14.7,270663028.0,2018-04-06
338,Tlnovelas,21500000,15013096899,News & Politics,158,Mexico,MX,4.0,62.0,483680.6923076923,7707752.655769231,40.2,126014024.0,3.42,102626859.0,2014-01-02
339,SMOL,21500000,22065582014,People & Blogs,6,United States,US,0.0,0.01,433486.4187704918,6928129.773770492,88.2,328239523.0,14.7,270663028.0,2006-04-02
340,invictor,21500000,8409641722,Gaming,17,Chile,CL,0.01,0.2,200995.47880434783,3224177.3629347826,88.5,18952038.0,7.09,16610135.0,2016-07-26
341,YOLO,21400000,1573058816,Comedy,1115,Germany,DE,0.0,0.0,500966.40579710144,8038623.188405797,95.79,84607016.0,5.9,65067459.0,2013-06-11
342,Sidhu Moose Wala,21400000,6264261757,Music,114,India,IN,40200.0,642800.0,482100.0,7700000.0,28.1,1366417754.0,5.36,471031528.0,2017-10-30
343,The Royalty Family,21300000,6269945014,People & Blogs,733,United States,US,40100.0,640900.0,480700.0,7700000.0,88.2,328239523.0,14.7,270663028.0,2017-04-13
344,Becky G,21300000,10644857969,Music,78,United States,US,25800.0,412700.0,309500.0,5000000.0,88.2,328239523.0,14.7,270663028.0,2011-09-06
345,Ishaan Ali 11,21300000,12761253839,People & Blogs,951,India,IN,182400.0,2900000.0,2200000.0,35000000.0,28.1,1366417754.0,5.36,471031528.0,2016-07-27
346,Infinite,21300000,5141834668,Entertainment,1608,United States,US,17100.0,273400.0,205100.0,3300000.0,88.2,328239523.0,14.7,270663028.0,2014-08-21
347,Azhan5star,21300000,10047736580,Entertainment,669,India,IN,59100.0,945200.0,708900.0,11300000.0,28.1,1366417754.0,5.36,471031528.0,2021-02-02
348,Dangal TV Channel,21300000,12895427184,Entertainment,20225,India,IN,140300.0,2200000.0,1700000.0,26900000.0,28.1,1366417754.0,5.36,471031528.0,2017-08-02
349,Khan GS Research Centre,21200000,2073073070,Education,1340,India,IN,0.0,0.0,518046.6684444444,8302168.911111111,28.1,1366417754.0,5.36,471031528.0,2017-01-05
350,GMA Public  Affairs,21200000,11364908616,Entertainment,31989,Philippines,PH,35600.0,569300.0,427000.0,6800000.0,35.5,108116615.0,2.15,50975903.0,2009-08-08
351,Tasty,21100000,5783557209,Howto & Style,4728,United States,US,6200.0,98800.0,74100.0,1200000.0,88.2,328239523.0,14.7,270663028.0,2016-01-22
352,Baim Paula,21100000,4526271677,People & Blogs,2325,Indonesia,ID,6700.0,107900.0,80900.0,1300000.0,36.3,270203917.0,4.69,151509724.0,2016-06-04
353,nigahiga,21000000,4380564906,Entertainment,403,United States,US,619.0,9900.0,470586.4440707965,118900.0,88.2,328239523.0,14.7,270663028.0,2006-07-21
354,Rafa & Luiz,21000000,7762905663,Entertainment,2883,Brazil,BR,29600.0,473600.0,355200.0,5700000.0,51.3,212559417.0,12.08,183241641.0,2015-08-26
355,Lyrical Lemonade,21000000,10631638628,Entertainment,420,United States,US,20000.0,320200.0,240200.0,3800000.0,88.2,328239523.0,14.7,270663028.0,2013-03-25
357,Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479,Education,896,India,IN,7100.0,114400.0,85800.0,1400000.0,28.1,1366417754.0,5.36,471031528.0,2013-12-06
358,Fatos Desconhecidos,20900000,3828000587,Entertainment,6262,Brazil,BR,13100.0,209300.0,157000.0,2500000.0,51.3,212559417.0,12.08,183241641.0,2013-09-26
359,Brave Wilderness,20900000,4927879069,Pets & Animals,982,United States,US,0.0,0.0,608305.5,9575086.5,88.2,328239523.0,14.7,270663028.0,2014-09-08
360,LIV Crime,20900000,11058049885,People & Blogs,9850,United States,US,95900.0,1500000.0,1200000.0,18400000.0,88.2,328239523.0,14.7,270663028.0,2020-08-18
362,Romeo Santos,20900000,17324976752,Music,6,United States,US,0.02,0.4,408155.45147959184,6538956.585153062,88.2,328239523.0,14.7,270663028.0,2006-07-31
363,Canal Canalha,20800000,1870608170,Comedy,288,Brazil,BR,6000.0,95600.0,71700.0,1100000.0,51.3,212559417.0,12.08,183241641.0,2011-04-08
364,Kurzgesagt,20800000,2378448129,Education,193,Germany,DE,7300.0,117100.0,87800.0,1400000.0,95.79,84607016.0,5.9,65067459.0,2013-07-09
365,Yoeslan,20700000,17963202261,Entertainment,619,United States,US,218700.0,3500000.0,2600000.0,42000000.0,88.2,328239523.0,14.7,270663028.0,2020-09-26
366,5-Minute Crafts DIY,20700000,5091618606,Howto & Style,5062,United States,US,5000.0,80000.0,60000.0,960600.0,88.2,328239523.0,14.7,270663028.0,2018-01-18
367,Zach King,20700000,5410164682,Entertainment,6,United States,US,0.03,0.5,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2013-06-05
368,tuzelity SHUFFLE,20700000,8658941531,People & Blogs,889,Russia,RU,138100.0,2200000.0,1700000.0,26500000.0,98.6,144373535.0,4.59,107683889.0,2015-10-26
369,NBA,20700000,12624879732,Sports,47926,United States,US,18300.0,292100.0,219100.0,3500000.0,88.2,328239523.0,14.7,270663028.0,2005-11-21
370,Deddy Corbuzier,20600000,4956090094,Entertainment,15,Indonesia,ID,0.02,0.34,470586.4440707965,7544165.480309734,36.3,270203917.0,4.69,151509724.0,2007-07-23
371,Bizarrap,20600000,7657171980,Comedy,83,Argentina,AR,48300.0,772700.0,579500.0,9300000.0,99.0,46005799.0,6.81,42696478.0,2017-01-15
372,Avicii,20600000,10292874715,Music,156,Sweden,SE,20300.0,324900.0,243700.0,3900000.0,67.0,10285453.0,6.48,9021165.0,2009-10-28
373,Mnet K-POP,20500000,15038593883,Entertainment,33229,South Korea,KR,39600.0,634200.0,475600.0,7600000.0,94.3,51709098.0,4.15,42106719.0,2006-03-09
374,LazarBeam,20500000,8768697257,Gaming,1323,Australia,AU,6500.0,104300.0,78200.0,1300000.0,113.1,25766605.0,5.27,21844756.0,2015-01-04
375,Ninja Kidz TV,20500000,11009148579,Entertainment,296,United States,US,48800.0,780800.0,585600.0,9400000.0,88.2,328239523.0,14.7,270663028.0,2017-02-09
376,Totoy kids - Portugu,20400000,1796227417,Film & Animation,206,Brazil,BR,9900.0,158000.0,118500.0,1900000.0,51.3,212559417.0,12.08,183241641.0,2014-12-02
377,Jake Paul,20400000,7311322368,People & Blogs,1006,United States,US,3700.0,58600.0,43900.0,703000.0,88.2,328239523.0,14.7,270663028.0,2013-09-19
378,Linkin Park,20400000,13397000296,Music,0,Afghanistan,AF,0.0,0.0,408155.45147959184,6538956.585153062,9.7,38041754.0,11.12,9797273.0,2006-11-28
379,Vijay Television,20400000,29406206620,Entertainment,51515,India,IN,226900.0,3600000.0,2700000.0,43600000.0,28.1,1366417754.0,5.36,471031528.0,2007-02-01
380,SlivkiShow,20400000,4707412332,Entertainment,462,Ukraine,UA,7200.0,116000.0,87000.0,1400000.0,83.0,37709792.0,8.9,26569220.0,2012-12-11
381,Emiway Bantai,20400000,3579555124,Music,239,India,IN,10300.0,165200.0,123900.0,2000000.0,28.1,1366417754.0,5.36,471031528.0,2013-05-03
382,Got Talent Global,20300000,2441288701,Entertainment,1245,United Kingdom,GB,21600.0,345800.0,259400.0,4100000.0,60.0,66834405.0,3.85,55908316.0,2013-01-31
383,Genevieve's Playhouse,20300000,11022391339,Education,107,United States,US,17900.0,287100.0,215300.0,3400000.0,88.2,328239523.0,14.7,270663028.0,2018-07-22
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,875,Indonesia,ID,28200.0,451100.0,338300.0,5400000.0,36.3,270203917.0,4.69,151509724.0,2019-01-14
385,Ami Rodriguez,20200000,2951914200,Entertainment,460,Colombia,CO,66000.0,1100000.0,791600.0,12700000.0,55.3,50339443.0,9.71,40827302.0,2009-07-20
386,Noor Stars,20200000,2764127969,Comedy,693,United Arab Emirates,AE,3900.0,62200.0,46700.0,746700.0,36.8,9770529.0,2.35,8479744.0,2014-04-24
387,Family GamesTV,20200000,7066711323,Entertainment,0,United States,US,0.0,0.0,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2012-12-29
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,226,India,IN,28400.0,453700.0,340300.0,5400000.0,28.1,1366417754.0,5.36,471031528.0,2017-05-25
389,dednahype,20200000,20919403720,Comedy,1935,Latvia,LV,311200.0,5000000.0,3700000.0,59800000.0,88.1,1912789.0,6.52,1304943.0,2020-03-20
390,Marta and Rustam,20200000,19694265358,Comedy,761,United States,US,113100.0,1800000.0,1400000.0,21700000.0,88.2,328239523.0,14.7,270663028.0,2021-06-21
391,MiawAug,20200000,6098644584,Gaming,3713,Indonesia,ID,16100.0,258000.0,193500.0,3100000.0,36.3,270203917.0,4.69,151509724.0,2014-03-15
392,CookieSwirlC,20100000,23353115850,Entertainment,3774,United States,US,55400.0,886800.0,665100.0,10600000.0,88.2,328239523.0,14.7,270663028.0,2013-11-03
393,Skrillex,20100000,6618524158,Music,241,United States,US,6300.0,101100.0,75800.0,1200000.0,88.2,328239523.0,14.7,270663028.0,2010-04-06
394,AuthenticGames,20100000,8920141342,Gaming,4974,Brazil,BR,1400.0,21700.0,16300.0,260200.0,51.3,212559417.0,12.08,183241641.0,2011-10-07
395,Robin Hood Gamer,20100000,10366850490,Entertainment,3,United States,US,0.0,0.0,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2013-03-16
396,Pencilmation,20100000,11317309935,Film & Animation,1481,United States,US,3700.0,59400.0,44600.0,713400.0,88.2,328239523.0,14.7,270663028.0,2007-02-01
397,7clouds,20100000,14816075927,Music,2384,United States,US,69200.0,1100000.0,830300.0,13300000.0,88.2,328239523.0,14.7,270663028.0,2013-05-25
398,5-Minute Crafts PLAY,20100000,6119294270,Howto & Style,5491,United States,US,26400.0,423100.0,317400.0,5100000.0,88.2,328239523.0,14.7,270663028.0,2017-10-30
399,Marvel Entertainment,20100000,5634695322,Entertainment,1,United States,US,0.02,0.25,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2011-05-10
400,BuzzFeedVideo,20100000,17913237851,People & Blogs,7737,United States,US,2300.0,36400.0,27300.0,437400.0,88.2,328239523.0,14.7,270663028.0,2011-08-10
401,REACT,20000000,13154314376,Entertainment,4339,United States,US,5800.0,92800.0,69600.0,1100000.0,88.2,328239523.0,14.7,270663028.0,2007-06-04
402,Vevo,20000000,559765455,Music,1527,United States,US,333.0,5300.0,408155.45147959184,63900.0,88.2,328239523.0,14.7,270663028.0,2006-04-14
403,Gordon Ramsay,20000000,3875172235,Entertainment,1527,United Kingdom,GB,9800.0,156900.0,117700.0,1900000.0,60.0,66834405.0,3.85,55908316.0,2006-04-29
404,Pentatonix,20000000,6033295543,Music,1,Canada,CA,0.0,0.0,408155.45147959184,6538956.585153062,68.9,36991981.0,5.56,30628482.0,2006-03-09
405,Green Gold TV - Official Channel,20000000,9715291883,Film & Animation,1476,India,IN,0.0,0.0,551006.2411904761,8861635.621666666,28.1,1366417754.0,5.36,471031528.0,2011-07-01
406,Gusttavo Lima Oficial,19900000,13917423958,Music,416,Brazil,BR,53700.0,859200.0,644400.0,10300000.0,51.3,212559417.0,12.08,183241641.0,2010-11-09
407,HaerteTest,19800000,3234880084,Science & Technology,1411,Germany,DE,1400.0,22600.0,17000.0,271200.0,95.79,84607016.0,5.9,65067459.0,2011-09-06
408,Crafty Panda,19800000,5759442450,People & Blogs,760,United States,US,1500.0,24500.0,18400.0,294600.0,88.2,328239523.0,14.7,270663028.0,2017-12-03
409,SOMOY TV,19800000,12293479945,News & Politics,9930,United States,US,4.0,65.0,483680.6923076923,7707752.655769231,88.2,328239523.0,14.7,270663028.0,2013-11-16
410,JennaMarbles,19700000,1803249241,Comedy,250,United States,US,942.0,15100.0,11300.0,180900.0,88.2,328239523.0,14.7,270663028.0,2010-02-16
411,Troom Troom Es,19700000,7452667615,People & Blogs,2912,Ukraine,UA,7300.0,117500.0,88200.0,1400000.0,83.0,37709792.0,8.9,26569220.0,2016-02-05
412,Official Pink Panther,19700000,10955619815,Film & Animation,3100,United States,US,0.0,0.0,551006.2411904761,8861635.621666666,88.2,328239523.0,14.7,270663028.0,2011-10-06
413,Britain's Got Talent,19700000,11323617496,Entertainment,4225,United Kingdom,GB,13500.0,216800.0,162600.0,2600000.0,60.0,66834405.0,3.85,55908316.0,2008-04-12
414,SCTV,19700000,9808676159,Entertainment,267,United Kingdom,GB,0.08,1.0,470586.4440707965,7544165.480309734,60.0,66834405.0,3.85,55908316.0,2006-03-25
415,AS Gaming,19600000,2851024430,Gaming,4300,United States,US,0.01,0.09,200995.47880434783,3224177.3629347826,88.2,328239523.0,14.7,270663028.0,2009-03-05
416,Sony AATH,19600000,13930021471,Shows,18661,United States,US,68600.0,1100000.0,822600.0,13200000.0,88.2,328239523.0,14.7,270663028.0,2013-11-13
417,tabii Urdu,19600000,8779729549,Entertainment,1306,Turkey,TR,27700.0,443200.0,332400.0,5300000.0,23.9,83429615.0,13.49,63097818.0,2020-04-17
418,DaFuq!?Boom!,19600000,7906181776,Film & Animation,214,United States,US,576000.0,9200000.0,6900000.0,110600000.0,88.2,328239523.0,14.7,270663028.0,2016-06-06
419,Clash of Clans,19600000,3961318438,Gaming,674,United States,US,5600.0,89200.0,66900.0,1100000.0,88.2,328239523.0,14.7,270663028.0,2013-01-31
420,RKD Studios,19500000,5234251168,Entertainment,847,India,IN,0.0,0.0,470586.4440707965,7544165.480309734,28.1,1366417754.0,5.36,471031528.0,2014-03-14
